,structure,Density
811,RSM3678,1.22781
812,RSM0719,1.71704
813,RSM4346,1.10561
814,RSM2781,1.41226
815,RSM2336,0.708937
816,RSM3663,0.927223
817,RSM1908,1.26902
818,RSM0274,1.26019
819,RSM1028,1.84002
820,RSM3079,1.50853
821,RSM4144,1.11546
822,RSM2095,1.36328
823,RSM0941,1.04649
824,RSM0557,1.36014
825,RSM0156,2.88033
826,RSM3512,1.27786
827,RSM3027,1.69402
828,RSM3007,1.07148
829,RSM0403,1.2883
830,RSM0507,2.61491
831,RSM1836,1.01137
832,RSM1757,1.36857
833,RSM3987,0.828895
834,RSM2207,0.67956
835,RSM3273,1.42689
836,RSM1378,1.62074
837,RSM0301,1.25201
838,RSM1140,1.29956
839,RSM0252,1.99733
840,RSM1811,1.15464
841,RSM3982,0.693698
842,RSM2636,1.99801
843,RSM0640,1.61007
844,RSM2466,1.44895
845,RSM1410,1.14799
846,RSM3302,1.22102
847,RSM2097,1.31506
848,RSM0952,1.46763
849,RSM0315,1.66292
850,RSM3412,1.09301
851,RSM0985,1.49218
852,RSM0903,1.66622
853,RSM0595,1.10475
854,RSM1249,1.00973
855,RSM0575,1.76497
856,RSM1095,2.15419
857,RSM2022,1.55427
858,RSM1059,1.04762
859,RSM4050,1.35045
860,RSM4042,1.0347
861,RSM3047,1.14595
862,RSM2062,1.26544
863,RSM0001,2.19457
864,RSM2910,1.48771
865,RSM1051,2.60597
866,RSM1375,1.47787
867,RSM0022,1.57941
868,RSM0741,0.695632
869,RSM0037,1.73271
870,RSM1000,1.13845
871,RSM1661,1.18953
872,RSM2183,1.37601
873,RSM0084,1.57152
874,RSM1280,1.24551
875,RSM0094,2.70663
876,RSM2972,1.5011
877,RSM3223,0.747241
878,RSM4598,0.731958
879,RSM0288,1.16343
880,RSM4404,1.21589
881,RSM0654,1.21731
882,RSM4232,1.36168
883,RSM0578,1.5364
884,RSM3757,1.3008
885,RSM2399,1.03071
886,RSM3576,0.819289
887,RSM3538,1.28028
888,RSM3259,1.55067
889,RSM2283,1.04919
890,RSM4243,0.401693
891,RSM0035,2.06413
892,RSM1440,1.52097
893,RSM1672,1.38836
894,RSM0978,0.749948
895,RSM3900,0.904839
896,RSM2344,1.29226
897,RSM4291,0.766563
898,RSM4600,0.619475
899,RSM4459,0.645176
900,RSM2570,1.68152
901,RSM2555,1.3106
902,RSM3099,1.38596
903,RSM3154,1.10927
904,RSM2516,1.74005
905,RSM0912,1.66849
906,RSM3781,1.57258
907,RSM1553,0.933105
908,RSM3028,1.69677
909,RSM1201,1.40424
910,RSM1063,0.957641
911,RSM3445,1.3832
912,RSM2024,1.64192
913,RSM3147,1.20798
914,RSM2745,1.30974
915,RSM1898,1.584
916,RSM3988,0.580654
917,RSM0012,1.7787
918,RSM4207,0.515566
919,RSM1883,1.07414
920,RSM1363,1.29589
921,RSM1488,1.56022
922,RSM2528,0.974761
923,RSM3594,1.44059
924,RSM2881,0.769306
925,RSM4345,1.00603
926,RSM4446,1.07827
927,RSM3845,0.559941
928,RSM2215,1.40924
929,RSM3284,1.07943
930,RSM3634,1.0841
931,RSM2343,1.46706
932,RSM1398,1.59888
933,RSM4048,0.992461
934,RSM2134,0.512933
935,RSM0391,1.22156
936,RSM1085,1.80028
937,RSM0626,1.07305
938,RSM0137,1.82279
939,RSM2964,1.06679
940,RSM4480,0.763065
941,RSM0743,0.590183
942,RSM2378,1.37321
943,RSM2627,1.05208
944,RSM1656,1.54191
945,RSM3961,1.40586
946,RSM3891,0.662414
947,RSM0430,1.1383
948,RSM3890,1.02953
949,RSM2808,1.18439
950,RSM0598,0.900562
951,RSM2015,1.78797
952,RSM2086,1.62573
953,RSM0616,1.70384
954,RSM0345,1.61706
955,RSM1013,1.48535
956,RSM0614,1.29331
957,RSM4433,0.782079
958,RSM2686,0.961765
959,RSM3966,1.37409
960,RSM3718,1.35822
961,RSM1245,1.99809
962,RSM3732,1.51296
963,RSM2254,0.87998
964,RSM1116,1.25099
965,RSM1312,1.35914
966,RSM0703,0.931696
967,RSM3887,0.750142
968,RSM2833,1.17065
969,RSM0920,1.62808
970,RSM4374,1.42789
971,RSM0784,1.16771
972,RSM4235,1.88663
973,RSM1710,1.17847
974,RSM0311,1.58556
975,RSM0561,1.28717
